Nombre, Producto, Precio(QTZ), Dias de espera, ID_Num
Juan,Granos,25,5,#JuGr001
Maria,Medicamentos,50,7,#MaMe002
Pedro,Fertilizantes,30,4,#PeFe003
Ana,Semillas,15,3,#AnSe004
Luis,Pesticidas,40,6,#LuPe005
Carmen,Alimentos,20,5,#CaAl006
Jorge,Equipos,75,10,#JoEq007
Sofia,Herbicidas,35,8,#SoHe008
Carlos,Suministros,55,12,#CaSu009
Elena,Agroquímicos,45,9,#ElAg010
Miguel,Plantas,18,6,#MiPl011
Laura,Maquinaria,100,15,#LaMa012
Ricardo,Cosechadoras,85,11,#RiCo013
Valeria,Insecticidas,28,5,#VaIn014
Oscar,Agroproductos,60,14,#OsAg015
Paula,Tractores,120,20,#PaTr016
Tomás,Fungicidas,32,7,#ToFu017
Gabriela,Semillas,22,3,#GaSe018
Daniel,Productores,90,13,#DaPr019
Martina,Insumos,27,8,#MaIn020
Andrés,Aditivos,65,10,#AnAd021
Natalia,Herbicidas,37,6,#NaHe022
Fernando,Granos,29,5,#FeGr023
Isabel,Fertilizantes,34,4,#IsFe024
Héctor,Semillas,19,3,#HeSe025
Claudia,Alimentos,23,7,#ClAl026
Alberto,Medicamentos,52,8,#AlMe027
Ximena,Pesticidas,42,6,#XiPe028
Víctor,Equipos,78,9,#ViEq029
Beatriz,Agroquímicos,48,11,#BeAg030
Luis,Maquinaria,110,17,#LuMa031
Nora,Plantas,16,4,#NoPl032
Guillermo,Cosechadoras,88,12,#GuCo033
Rosa,Insecticidas,31,7,#RoIn034
Esteban,Productores,95,14,#EsPr035
Viviana,Tractores,125,18,#ViTr036
Santiago,Fungicidas,33,6,#SaFu037
Camila,Agroproductos,62,15,#CaAg038
Julio,Suministros,58,9,#JuSu039
Marina,Aditivos,67,10,#MaAd040
